# Stadia — launch-catalogue candidates (no GPS yet)
#
# One editable candidate per line: canonical venue name | city/area | country/territory | class
# Delete a line to reject it. This is a curated seed list, not the final verified
# catalogue: capacity, current use, aliases, and pitch/focal-point coordinates are
# validated in the next pass.
#
# Classes: stadium, arena, circuit, racecourse, golf
# Editorial constraint: China and India are deliberately capped to globally
# recognisable or visually distinctive major-event venues. They are not ranked
# by volume or capacity; additions need evidence that they make fair puzzles.
# Arenas require a primary sporting use or a current major-sport tenant; the
# catalogue excludes concert-led event halls. Circuits are F1-led, with only a
# small number of exceptional non-F1 venues. Racecourses are a short marquee set.

# Europe — stadiums and arenas
Wembley Stadium | London | England | stadium
Old Trafford | Manchester | England | stadium
Tottenham Hotspur Stadium | London | England | stadium
Emirates Stadium | London | England | stadium
London Stadium | London | England | stadium
Anfield | Liverpool | England | stadium
St James' Park | Newcastle upon Tyne | England | stadium
Etihad Stadium | Manchester | England | stadium
Villa Park | Birmingham | England | stadium
Hampden Park | Glasgow | Scotland | stadium
Principality Stadium | Cardiff | Wales | stadium
Aviva Stadium | Dublin | Ireland | stadium
Croke Park | Dublin | Ireland | stadium
Murrayfield Stadium | Edinburgh | Scotland | stadium
Santiago Bernabéu Stadium | Madrid | Spain | stadium
Spotify Camp Nou | Barcelona | Spain | stadium
Metropolitano Stadium | Madrid | Spain | stadium
San Mamés Stadium | Bilbao | Spain | stadium
Estadio de La Cartuja | Seville | Spain | stadium
Mestalla Stadium | Valencia | Spain | stadium
Estádio da Luz | Lisbon | Portugal | stadium
Estádio José Alvalade | Lisbon | Portugal | stadium
Estádio do Dragão | Porto | Portugal | stadium
Stade de France | Saint-Denis | France | stadium
Parc des Princes | Paris | France | stadium
Stade Vélodrome | Marseille | France | stadium
Groupama Stadium | Décines-Charpieu | France | stadium
Stade Pierre-Mauroy | Villeneuve-d'Ascq | France | stadium
Johan Cruyff Arena | Amsterdam | Netherlands | stadium
De Kuip | Rotterdam | Netherlands | stadium
Philips Stadion | Eindhoven | Netherlands | stadium
Olympiastadion | Berlin | Germany | stadium
Allianz Arena | Munich | Germany | stadium
Signal Iduna Park | Dortmund | Germany | stadium
Veltins-Arena | Gelsenkirchen | Germany | stadium
Red Bull Arena | Leipzig | Germany | stadium
Volksparkstadion | Hamburg | Germany | stadium
Deutsche Bank Park | Frankfurt | Germany | stadium
Mercedes-Benz Arena | Stuttgart | Germany | stadium
RheinEnergieStadion | Cologne | Germany | stadium
Stadio Olimpico | Rome | Italy | stadium
San Siro | Milan | Italy | stadium
Allianz Stadium | Turin | Italy | stadium
Stadio Diego Armando Maradona | Naples | Italy | stadium
Stadio Artemio Franchi | Florence | Italy | stadium
Stadio Renato Dall'Ara | Bologna | Italy | stadium
Ernst-Happel-Stadion | Vienna | Austria | stadium
St. Jakob-Park | Basel | Switzerland | stadium
Stadion Letzigrund | Zurich | Switzerland | stadium
Stade de Suisse | Bern | Switzerland | stadium
King Baudouin Stadium | Brussels | Belgium | stadium
Stade Maurice Dufrasne | Liège | Belgium | stadium
Parken Stadium | Copenhagen | Denmark | stadium
Friends Arena | Solna | Sweden | stadium
Ullevi | Gothenburg | Sweden | stadium
Ullevaal Stadion | Oslo | Norway | stadium
Helsinki Olympic Stadium | Helsinki | Finland | stadium
Laugardalsvöllur | Reykjavík | Iceland | stadium
Puskás Aréna | Budapest | Hungary | stadium
National Athletic Centre | Budapest | Hungary | stadium
Stadion Narodowy | Warsaw | Poland | stadium
Stadion Śląski | Chorzów | Poland | stadium
Eden Arena | Prague | Czechia | stadium
Tehelné pole | Bratislava | Slovakia | stadium
Arena Națională | Bucharest | Romania | stadium
Stadionul Steaua | Bucharest | Romania | stadium
Stadion Rajko Mitić | Belgrade | Serbia | stadium
Stadion Partizana | Belgrade | Serbia | stadium
Stadion Maksimir | Zagreb | Croatia | stadium
Stadion Poljud | Split | Croatia | stadium
Stožice Stadium | Ljubljana | Slovenia | stadium
Toše Proeski Arena | Skopje | North Macedonia | stadium
Stadionul Zimbru | Chișinău | Moldova | stadium
Vasil Levski National Stadium | Sofia | Bulgaria | stadium
Georgi Asparuhov Stadium | Sofia | Bulgaria | stadium
Karaiskakis Stadium | Piraeus | Greece | stadium
Olympic Stadium of Athens | Marousi | Greece | stadium
